Date,Price,Open,High,Low,Vol.,Change %
2019-10-02,98.244,98.33,98.54,98.19,0.04K,-0.08%
2019-10-03,98.105,98.27,98.365,97.885,0.08K,-0.14%
2019-10-04,98.058,98.075,98.23,98.075,0.01K,-0.05%
2019-10-07,98.235,98.115,98.25,98.11,0.01K,0.18%
2019-10-08,98.392,98.145,98.46,98.14,0.29K,0.16%
2019-10-09,98.41,98.27,98.39,98.24,0.01K,0.02%
2019-10-10,97.996,98.325,98.33,98.0,0.10K,-0.42%
2019-10-11,97.595,97.965,98.025,97.5,0.18K,-0.41%
2019-10-14,97.78,97.735,97.85,97.725,0.93K,0.19%
2019-10-15,97.598,97.735,97.93,97.555,0.29K,-0.19%
2019-10-16,97.308,97.46,97.69,97.205,0.38K,-0.30%
2019-10-17,96.915,97.335,97.43,96.83,0.19K,-0.40%
2019-10-18,96.603,96.94,96.945,96.565,0.07K,-0.32%
2019-10-21,96.645,96.65,96.695,96.505,0.06K,0.04%
2019-10-22,96.851,96.62,96.81,96.595,0.10K,0.21%
2019-10-23,96.821,96.83,96.97,96.795,0.04K,-0.03%
2019-10-24,96.985,96.81,97.085,96.675,0.14K,0.17%
2019-10-25,97.179,96.95,97.19,96.95,0.02K,0.20%
2019-10-28,97.1,97.225,97.225,97.055,0.14K,-0.08%
2019-10-29,97.044,97.1,97.27,96.99,0.16K,-0.06%
2019-10-30,97.019,96.985,97.38,96.875,0.12K,-0.03%
2019-10-31,96.744,96.815,96.82,96.65,0.16K,-0.28%
2019-11-01,96.64,96.63,96.845,96.555,0.11K,-0.11%
2019-11-04,96.961,96.595,96.97,96.595,0.03K,0.33%
2019-11-05,97.405,96.97,97.41,96.97,0.10K,0.46%
2019-11-06,97.359,97.34,97.395,97.24,0.01K,-0.05%
2019-11-07,97.579,97.395,97.64,97.32,0.10K,0.23%
2019-11-08,97.786,97.55,97.825,97.55,0.17K,0.21%
2019-11-11,97.608,97.78,97.78,97.545,0.58K,-0.18%
2019-11-12,97.726,97.69,97.805,97.69,0.07K,0.12%
2019-11-13,97.805,97.745,97.87,97.71,0.02K,0.08%
2019-11-14,97.594,97.84,97.84,97.56,0.10K,-0.22%
2019-11-15,97.451,97.585,97.6,97.425,0.03K,-0.15%
2019-11-18,97.245,97.39,97.39,97.135,0.10K,-0.21%
2019-11-19,97.322,97.33,97.335,97.255,0.03K,0.08%
2019-11-20,97.399,97.365,97.495,97.32,0.06K,0.08%
2019-11-21,97.484,97.28,97.5,97.25,0.07K,0.09%
2019-11-22,97.76,97.425,97.77,97.31,0.10K,0.28%
2019-11-25,97.803,97.775,97.855,97.68,0.17K,0.04%
2019-11-26,97.736,97.78,97.865,97.715,0.06K,-0.07%
2019-11-27,97.853,97.85,97.905,97.79,0.05K,0.12%
2019-11-28,97.853,97.845,97.9,97.78,0.05K,0.00%
2019-11-29,97.767,97.91,98.045,97.735,0.54K,-0.09%
2019-12-02,97.351,97.785,97.865,97.31,0.68K,-0.43%
2019-12-03,97.256,97.44,97.44,97.16,0.21K,-0.10%
2019-12-04,97.187,97.25,97.315,96.95,0.50K,-0.07%
2019-12-05,96.956,97.12,97.12,96.905,0.45K,-0.24%
2019-12-06,97.246,96.955,97.4,96.82,2.85K,0.30%
2019-12-09,97.179,97.235,97.275,97.11,10.98K,-0.07%
2019-12-10,96.95,97.2,97.2,96.94,4.53K,-0.24%
2019-12-11,96.616,97.065,97.145,96.575,10.15K,-0.34%
2019-12-12,96.959,96.64,97.095,96.6,30.46K,0.36%
2019-12-13,96.745,96.42,96.81,96.295,27.50K,-0.22%
2019-12-16,96.58,96.715,96.73,96.495,12.42K,-0.17%
2019-12-17,96.418,96.465,96.465,96.24,0.03K,-0.17%
2019-12-18,96.608,96.505,96.67,96.505,0.01K,0.20%
2019-12-19,96.6,96.565,96.68,96.495,0.11K,-0.01%
2019-12-20,96.917,96.645,96.975,96.645,0.12K,0.33%
2019-12-23,96.875,96.88,97.03,96.875,0.02K,-0.04%
2019-12-24,96.891,96.925,97.0,96.875,0.01K,0.02%
2019-12-26,96.755,96.82,96.82,96.76,0.01K,-0.14%
2019-12-27,96.187,96.69,96.69,96.19,0.12K,-0.59%
2019-12-30,96.047,96.28,96.28,95.965,0.03K,-0.15%
2019-12-31,95.688,95.93,95.93,95.7,0.10K,-0.37%
2020-01-02,96.168,95.78,96.17,95.78,0.20K,0.50%
2020-01-03,96.166,96.13,96.415,96.11,0.03K,-0.00%
2020-01-06,95.995,96.205,96.205,95.915,0.02K,-0.18%
2020-01-07,96.347,96.01,96.42,96.01,0.07K,0.37%
2020-01-08,96.636,96.29,96.66,96.29,0.04K,0.30%
2020-01-09,96.801,96.635,96.895,96.635,0.07K,0.17%
2020-01-10,96.703,96.86,96.92,96.645,0.06K,-0.10%
2020-01-13,96.685,96.775,96.83,96.65,0.06K,-0.02%
2020-01-14,96.72,96.7,96.885,96.695,0.04K,0.04%
2020-01-15,96.579,96.74,96.775,96.515,0.09K,-0.15%
2020-01-16,96.682,96.56,96.7,96.455,0.06K,0.11%
2020-01-17,96.979,96.675,97.0,96.675,0.01K,0.31%
2020-01-20,96.979,97.09,97.09,97.03,0.01K,0.00%
2020-01-21,96.908,96.975,96.98,96.78,0.06K,-0.07%
2020-01-22,96.92,96.895,96.97,96.79,0.01K,0.01%
2020-01-23,97.102,96.955,97.195,96.91,0.02K,0.19%
2020-01-24,97.265,97.11,97.35,97.11,0.05K,0.17%
2020-01-27,97.382,97.25,97.4,97.25,0.09K,0.12%
2020-01-28,97.45,97.385,97.555,97.385,0.06K,0.07%
2020-01-29,97.434,97.435,97.555,97.41,0.01K,-0.02%
2020-01-30,97.321,97.47,97.47,97.28,0.06K,-0.12%
2020-01-31,96.843,97.33,97.4,96.8,0.06K,-0.49%
2020-02-03,97.265,96.885,97.465,96.885,0.14K,0.44%
2020-02-04,97.442,97.3,97.47,97.3,0.05K,0.18%
2020-02-05,97.788,97.475,97.8,97.46,0.04K,0.36%
2020-02-06,98.009,97.795,98.07,97.775,0.09K,0.23%
2020-02-07,98.201,97.92,98.215,97.92,0.37K,0.20%
2020-02-10,98.344,98.17,98.4,98.13,0.05K,0.15%
2020-02-11,98.227,98.37,98.415,98.23,0.06K,-0.12%
2020-02-12,98.552,98.31,98.515,98.23,0.12K,0.33%
2020-02-13,98.588,98.535,98.605,98.5,0.03K,0.04%
2020-02-14,98.635,98.64,98.685,98.54,0.02K,0.05%
2020-02-17,98.635,98.635,98.71,98.595,0.02K,0.00%
2020-02-18,98.963,98.765,99.005,98.69,0.12K,0.33%
2020-02-19,99.227,98.935,99.225,98.925,0.11K,0.27%
2020-02-20,99.406,99.175,99.44,99.175,0.26K,0.18%
2020-02-21,98.81,99.38,99.4,98.775,0.30K,-0.60%
2020-02-24,98.909,99.0,99.19,98.665,0.30K,0.10%
2020-02-25,98.536,98.87,98.945,98.475,0.22K,-0.38%
2020-02-26,98.593,98.625,98.86,98.51,0.21K,0.06%
2020-02-27,98.131,98.64,98.64,97.98,0.48K,-0.47%
2020-02-28,97.786,98.07,98.315,97.64,1.10K,-0.35%
2020-03-02,97.046,97.545,97.71,96.87,1.29K,-0.76%
2020-03-03,96.902,97.24,97.375,96.635,1.24K,-0.15%
2020-03-04,97.101,96.955,97.33,96.9,1.32K,0.21%
2020-03-05,96.588,97.11,97.12,96.3,0.98K,-0.53%
2020-03-06,95.785,96.475,96.475,95.54,3.48K,-0.83%
2020-03-09,94.744,95.65,95.685,94.53,14.93K,-1.09%
2020-03-10,96.279,95.225,96.465,95.06,10.29K,1.62%
2020-03-11,96.442,96.21,96.535,95.81,10.28K,0.17%
2020-03-12,97.654,96.545,98.4,96.015,52.41K,1.26%
2020-03-13,98.904,97.595,99.07,97.385,64.17K,1.28%
2020-03-16,98.152,98.45,98.685,97.58,27.31K,-0.76%
2020-03-17,99.719,98.53,99.96,98.485,0.05K,1.60%
2020-03-18,101.623,99.37,102.0,99.37,0.10K,1.91%
2020-03-19,103.78,102.07,103.98,101.305,0.03K,2.12%
2020-03-20,103.582,103.63,103.665,102.5,0.04K,-0.19%
2020-03-23,103.32,103.58,103.97,102.5,0.03K,-0.25%
2020-03-24,102.312,102.8,102.8,101.61,0.09K,-0.98%
2020-03-25,101.055,101.825,101.96,100.855,0.03K,-1.23%
2020-03-26,99.468,100.58,100.58,99.395,0.04K,-1.57%
2020-03-27,98.526,99.485,99.96,98.39,0.05K,-0.95%
2020-03-30,99.246,98.62,99.29,98.345,0.06K,0.73%
2020-03-31,99.092,99.755,99.985,99.0,0.04K,-0.16%
2020-04-01,99.753,98.975,99.775,98.975,0.05K,0.67%
2020-04-02,100.271,99.75,100.37,99.68,0.04K,0.52%
2020-04-03,100.677,100.335,100.985,100.32,0.05K,0.40%
2020-04-06,100.77,100.66,101.015,100.66,0.02K,0.09%
2020-04-07,99.929,100.66,100.66,99.705,0.07K,-0.83%
2020-04-08,100.155,99.97,100.46,99.97,0.05K,0.23%
2020-04-09,99.477,100.325,100.325,99.38,0.04K,-0.68%
2020-04-13,99.306,99.38,99.505,99.105,0.01K,-0.17%
2020-04-14,98.852,99.25,99.25,98.78,0.07K,-0.46%
2020-04-15,99.451,99.035,99.96,99.035,0.03K,0.61%
2020-04-16,100.065,99.895,100.2,99.645,0.02K,0.62%
2020-04-17,99.81,99.715,100.25,99.655,0.04K,-0.25%
2020-04-20,100.034,99.925,100.115,99.835,0.02K,0.22%
2020-04-21,100.354,100.25,100.58,100.25,0.05K,0.32%
2020-04-22,100.508,100.37,100.59,100.02,0.05K,0.15%
2020-04-23,100.527,100.58,100.77,100.18,0.07K,0.02%
2020-04-24,100.424,100.675,100.9,100.335,0.06K,-0.10%
2020-04-27,100.107,100.39,100.4,99.9,0.08K,-0.32%
2020-04-28,99.944,100.22,100.255,99.545,0.01K,-0.16%
2020-04-29,99.654,99.865,99.94,99.57,0.01K,-0.29%
2020-04-30,99.058,99.505,99.76,99.01,0.06K,-0.60%
2020-05-01,99.13,99.265,99.265,98.855,0.01K,0.07%
2020-05-04,99.573,99.26,99.645,99.26,0.04K,0.45%
2020-05-05,99.787,99.515,100.065,99.45,0.08K,0.21%
2020-05-06,100.161,99.915,100.26,99.915,0.03K,0.37%
2020-05-07,99.941,100.31,100.465,99.895,0.08K,-0.22%
2020-05-08,99.775,99.71,99.97,99.485,0.13K,-0.17%
2020-05-11,100.26,99.75,100.3,99.75,0.10K,0.49%
2020-05-12,99.95,100.4,100.5,99.77,0.04K,-0.31%
2020-05-13,100.286,99.98,100.3,99.7,0.03K,0.34%
2020-05-14,100.502,100.4,100.6,100.285,0.02K,0.22%
2020-05-15,100.429,100.31,100.5,100.15,0.03K,-0.07%
2020-05-18,99.692,100.375,100.5,99.63,0.11K,-0.73%
2020-05-19,99.368,99.655,99.77,99.28,0.15K,-0.33%
2020-05-20,99.137,99.515,99.515,99.02,0.08K,-0.23%
2020-05-21,99.399,99.25,99.54,99.05,0.08K,0.26%
2020-05-22,99.88,99.6,99.885,99.575,0.08K,0.48%
2020-05-25,99.88,99.76,99.86,99.745,0.02K,0.00%
2020-05-26,98.919,99.79,99.79,98.915,0.18K,-0.96%
2020-05-27,99.048,99.08,99.31,98.71,0.19K,0.13%
2020-05-28,98.36,98.89,99.035,98.35,0.20K,-0.69%
2020-05-29,98.323,98.48,98.56,97.93,0.55K,-0.04%
2020-06-01,97.79,98.27,98.29,97.75,0.24K,-0.54%
2020-06-02,97.631,97.815,97.875,97.395,0.39K,-0.16%
2020-06-03,97.231,97.585,97.585,97.14,0.74K,-0.41%
2020-06-04,96.624,97.26,97.605,96.54,1.05K,-0.62%
2020-06-05,96.892,96.705,97.02,96.46,1.38K,0.28%
2020-06-08,96.555,96.835,97.035,96.535,6.53K,-0.35%
2020-06-09,96.271,96.545,97.005,96.18,5.58K,-0.29%
2020-06-10,95.897,96.425,96.495,95.57,13.72K,-0.39%
2020-06-11,96.723,96.1,96.845,95.915,25.34K,0.86%
2020-06-12,97.33,96.845,97.465,96.485,23.76K,0.63%
2020-06-15,96.65,97.25,97.38,96.55,18.52K,-0.70%
2020-06-16,96.903,96.485,97.17,96.455,0.05K,0.26%
2020-06-17,97.115,96.845,97.26,96.79,0.07K,0.22%
2020-06-18,97.38,97.0,97.46,97.0,0.03K,0.27%
2020-06-19,97.562,97.43,97.61,97.17,0.03K,0.19%
2020-06-22,96.975,97.58,97.58,97.0,0.01K,-0.60%
2020-06-23,96.603,96.42,96.605,96.41,0.00K,-0.38%
2020-06-24,97.124,96.555,97.215,96.555,0.02K,0.54%
2020-06-25,97.395,97.26,97.56,97.26,0.02K,0.28%
2020-06-26,97.417,97.3,97.625,97.27,0.04K,0.02%
2020-06-29,97.511,97.26,97.515,97.145,0.07K,0.10%
2020-06-30,97.359,97.415,97.785,97.29,0.04K,-0.16%
2020-07-01,97.165,97.31,97.58,97.035,0.05K,-0.20%
2020-07-02,97.302,97.15,97.29,96.745,0.14K,0.14%
2020-07-03,97.302,97.155,97.32,97.155,0.03K,0.00%
2020-07-06,96.682,97.15,97.15,96.515,0.09K,-0.64%
2020-07-07,96.839,96.585,97.1,96.585,0.02K,0.16%
2020-07-08,96.368,96.96,96.96,96.355,0.05K,-0.49%
2020-07-09,96.653,96.375,96.76,96.185,0.07K,0.30%
2020-07-10,96.589,96.8,96.935,96.59,0.04K,-0.07%
2020-07-13,96.388,96.435,96.58,96.21,0.09K,-0.21%
2020-07-14,96.195,96.5,96.615,96.13,0.12K,-0.20%
2020-07-15,96.025,96.09,96.16,95.79,0.11K,-0.18%
2020-07-16,96.294,95.985,96.3,95.85,0.08K,0.28%
2020-07-17,95.864,96.235,96.27,95.87,0.05K,-0.45%
2020-07-20,95.762,95.855,96.115,95.675,0.05K,-0.11%
2020-07-21,95.049,95.65,95.79,95.0,0.13K,-0.74%
2020-07-22,94.922,95.07,95.36,94.765,0.21K,-0.13%
2020-07-23,94.639,94.88,95.135,94.54,0.12K,-0.30%
2020-07-24,94.377,94.735,94.735,94.23,0.19K,-0.28%
2020-07-27,93.605,94.295,94.295,93.445,0.25K,-0.82%
2020-07-28,93.651,93.515,93.965,93.5,0.22K,0.05%
2020-07-29,93.437,93.73,93.73,93.12,0.19K,-0.23%
2020-07-30,93.024,93.305,93.625,92.915,0.31K,-0.44%
2020-07-31,93.341,92.665,93.51,92.52,0.46K,0.34%
2020-08-03,93.527,93.4,93.975,93.36,0.22K,0.20%
2020-08-04,93.398,93.6,93.815,93.23,0.16K,-0.14%
2020-08-05,92.87,93.15,93.22,92.6,0.18K,-0.57%
2020-08-06,92.788,92.805,93.105,92.5,0.27K,-0.09%
2020-08-07,93.432,92.81,93.62,92.81,0.18K,0.69%
2020-08-10,93.594,93.455,93.695,93.33,0.15K,0.17%
2020-08-11,93.625,93.63,93.75,93.185,0.29K,0.03%
2020-08-12,93.433,93.735,93.915,93.245,0.14K,-0.21%
2020-08-13,93.342,93.295,93.4,92.925,0.17K,-0.10%
2020-08-14,93.11,93.325,93.4,93.06,0.09K,-0.25%
2020-08-17,92.872,93.07,93.135,92.8,0.28K,-0.26%
2020-08-18,92.286,92.795,92.795,92.135,0.39K,-0.63%
2020-08-19,92.91,92.25,93.08,92.19,0.20K,0.68%
2020-08-20,92.808,93.045,93.24,92.74,0.29K,-0.11%
2020-08-21,93.27,92.69,93.5,92.61,0.35K,0.50%
2020-08-24,93.319,93.2,93.38,92.88,0.23K,0.05%
2020-08-25,93.049,93.38,93.395,92.99,0.37K,-0.29%
2020-08-26,93.026,93.03,93.365,92.86,0.80K,-0.02%
2020-08-27,93.006,92.85,93.35,92.445,0.57K,-0.02%
2020-08-28,92.389,93.1,93.1,92.2,0.94K,-0.66%
2020-08-31,92.141,92.23,92.5,92.01,1.31K,-0.27%
2020-09-01,92.342,92.135,92.405,91.75,1.12K,0.22%
2020-09-02,92.839,92.265,92.88,92.265,1.29K,0.54%
2020-09-03,92.735,92.69,93.075,92.69,2.51K,-0.11%
2020-09-04,92.709,92.825,93.245,92.66,5.77K,-0.03%
2020-09-07,92.709,92.785,93.08,92.785,2.89K,0.00%
2020-09-08,93.425,93.055,93.515,92.99,14.64K,0.77%
2020-09-09,93.244,93.545,93.64,93.1,12.55K,-0.19%
2020-09-10,93.316,93.255,93.445,92.68,34.05K,0.08%
2020-09-11,93.338,93.365,93.4,93.075,27.44K,0.02%
2020-09-14,93.06,93.335,93.34,92.865,24.01K,-0.30%
2020-09-15,93.025,93.07,93.185,92.79,18.64K,-0.04%
2020-09-16,93.171,93.07,93.085,92.76,0.02K,0.16%
2020-09-17,92.919,93.37,93.37,92.865,0.02K,-0.27%
2020-09-18,92.907,92.8,92.945,92.77,0.02K,-0.01%
2020-09-21,93.639,92.995,93.75,92.995,0.04K,0.79%
2020-09-22,93.978,93.56,94.075,93.46,0.13K,0.36%
2020-09-23,94.398,94.04,94.425,93.95,0.18K,0.45%
2020-09-24,94.358,94.28,94.58,94.215,0.13K,-0.04%
2020-09-25,94.647,94.37,94.69,94.215,0.08K,0.31%
2020-09-28,94.269,94.55,94.56,94.145,0.12K,-0.40%
2020-09-29,93.895,94.235,94.28,93.865,0.13K,-0.40%
2020-09-30,93.897,93.88,94.19,93.715,0.09K,0.00%
2020-10-01,93.725,93.89,93.925,93.58,0.12K,-0.18%
2020-10-02,93.874,93.755,94.03,93.705,0.10K,0.16%
2020-10-05,93.53,93.845,93.845,93.395,0.13K,-0.37%
2020-10-06,93.719,93.4,93.87,93.4,0.15K,0.20%
2020-10-07,93.653,93.85,93.94,93.6,0.08K,-0.07%
2020-10-08,93.623,93.66,93.775,93.535,0.16K,-0.03%
2020-10-09,93.04,93.4,93.405,92.975,0.08K,-0.62%
2020-10-12,93.066,93.115,93.205,93.01,0.06K,0.03%
2020-10-13,93.501,93.045,93.58,93.045,0.15K,0.47%
2020-10-14,93.346,93.525,93.525,93.245,0.14K,-0.17%
2020-10-15,93.829,93.395,93.85,93.385,0.07K,0.52%
2020-10-16,93.644,93.77,93.81,93.505,0.10K,-0.20%
2020-10-19,93.394,93.69,93.69,93.185,0.12K,-0.27%
2020-10-20,93.016,93.4,93.46,92.975,0.10K,-0.40%
2020-10-21,92.564,92.92,92.92,92.46,0.12K,-0.49%
2020-10-22,92.929,92.675,92.93,92.61,0.08K,0.39%
2020-10-23,92.73,93.065,93.065,92.635,0.06K,-0.21%
2020-10-26,93.009,92.715,93.05,92.715,0.04K,0.30%
2020-10-27,92.897,92.915,93.0,92.79,0.10K,-0.12%
2020-10-28,93.379,93.125,93.615,93.125,0.16K,0.52%
2020-10-29,93.942,93.4,94.075,93.325,0.13K,0.60%
2020-10-30,94.007,93.91,94.01,93.755,0.08K,0.07%
2020-11-02,94.105,94.105,94.165,93.965,0.15K,0.10%
2020-11-03,93.53,93.98,93.98,93.305,0.07K,-0.61%
2020-11-04,93.381,93.555,94.25,93.23,0.15K,-0.16%
2020-11-05,92.486,93.36,93.365,92.485,0.28K,-0.96%
2020-11-06,92.195,92.75,92.75,92.13,0.23K,-0.31%
2020-11-09,92.685,92.155,92.925,92.12,0.40K,0.53%
2020-11-10,92.706,92.715,92.935,92.585,0.16K,0.02%
2020-11-11,92.994,92.665,93.165,92.6,0.17K,0.31%
2020-11-12,92.915,92.97,93.045,92.73,0.21K,-0.08%
2020-11-13,92.708,92.895,92.96,92.67,0.11K,-0.22%
2020-11-16,92.58,92.62,92.785,92.4,0.14K,-0.14%
2020-11-17,92.348,92.445,92.485,92.2,0.15K,-0.25%
2020-11-18,92.261,92.405,92.45,92.15,0.13K,-0.09%
2020-11-19,92.234,92.445,92.62,92.19,0.19K,-0.03%
2020-11-20,92.335,92.25,92.35,92.15,0.16K,0.11%
2020-11-23,92.434,92.325,92.73,91.955,0.35K,0.11%
2020-11-24,92.165,92.445,92.5,92.065,0.42K,-0.29%
2020-11-25,91.906,92.118,92.252,91.91,-,-0.28%
2020-11-26,91.906,91.905,92.1,91.785,0.22K,0.00%
2020-11-27,91.741,91.93,91.98,91.69,0.21K,-0.18%
2020-11-30,91.792,91.695,91.955,91.425,0.90K,0.06%
2020-12-01,91.227,91.825,91.835,91.085,1.00K,-0.62%
2020-12-02,91.052,91.16,91.43,90.915,1.00K,-0.19%
2020-12-03,90.645,91.03,91.03,90.435,1.98K,-0.45%
2020-12-04,90.609,90.585,90.78,90.38,7.98K,-0.04%
2020-12-07,90.702,90.675,91.15,90.515,8.92K,0.10%
2020-12-08,90.88,90.825,90.925,90.66,10.38K,0.20%
2020-12-09,91.011,90.83,91.12,90.595,14.05K,0.14%
2020-12-10,90.751,91.0,91.08,90.575,27.05K,-0.29%
2020-12-11,90.924,90.67,90.975,90.545,21.50K,0.19%
2020-12-14,90.655,90.73,90.845,90.345,23.43K,-0.30%
2020-12-15,90.369,90.55,90.685,90.325,0.02K,-0.32%
2020-12-16,90.327,90.33,90.56,90.03,0.05K,-0.05%
2020-12-17,89.706,90.05,90.05,89.62,0.23K,-0.69%
2020-12-18,89.92,89.805,89.9,89.77,0.01K,0.24%
2020-12-21,89.914,90.0,90.91,89.97,0.09K,-0.01%
2020-12-22,90.511,90.055,90.55,90.055,0.04K,0.66%
2020-12-23,90.306,90.4,90.46,90.07,0.03K,-0.23%
2020-12-24,90.215,90.115,90.225,90.075,0.02K,-0.10%
2020-12-28,90.24,90.1,90.26,89.89,0.07K,0.03%
2020-12-29,89.883,90.1,90.1,89.83,0.04K,-0.40%
2020-12-30,89.614,89.868,89.9,89.515,-,-0.30%
2020-12-31,89.859,89.5,89.93,89.5,0.09K,0.27%
2021-01-04,89.819,89.735,89.89,89.38,0.13K,-0.04%
2021-01-05,89.389,89.79,89.79,89.375,0.09K,-0.48%
2021-01-06,89.482,89.36,89.75,89.155,0.12K,0.10%
2021-01-07,89.771,89.345,89.9,89.345,0.13K,0.32%
2021-01-08,90.048,89.855,90.145,89.62,0.29K,0.31%
2021-01-11,90.422,90.205,90.67,90.17,0.18K,0.42%
2021-01-12,90.044,90.445,90.55,89.99,0.15K,-0.42%
2021-01-13,90.314,89.98,90.4,89.88,0.14K,0.30%
2021-01-14,90.189,90.225,90.52,90.065,0.14K,-0.14%
2021-01-15,90.727,90.2,90.75,90.2,0.21K,0.60%
2021-01-18,90.727,90.675,90.91,90.675,0.09K,0.00%
2021-01-19,90.446,90.68,90.725,90.385,0.26K,-0.31%
2021-01-20,90.439,90.388,90.69,90.248,-,-0.01%
2021-01-21,90.097,90.275,90.315,90.015,0.17K,-0.38%
2021-01-22,90.182,90.065,90.27,90.045,0.23K,0.09%
2021-01-25,90.343,90.215,90.475,90.04,0.11K,0.18%
2021-01-26,90.118,90.305,90.525,90.07,0.10K,-0.25%
2021-01-27,90.605,90.14,90.83,90.1,0.18K,0.54%
2021-01-28,90.402,90.735,90.795,90.37,0.19K,-0.22%
2021-01-29,90.54,90.61,90.725,90.32,0.21K,0.15%
2021-02-01,90.94,90.575,91.02,90.465,0.17K,0.44%
2021-02-02,91.155,90.965,91.26,90.795,0.23K,0.24%
2021-02-03,91.123,91.0,91.25,90.955,0.17K,-0.04%
2021-02-04,91.495,91.075,91.55,91.07,0.21K,0.41%
2021-02-05,91.007,91.485,91.57,90.95,0.36K,-0.53%
2021-02-08,90.894,90.93,91.185,90.845,0.55K,-0.12%
2021-02-09,90.399,90.875,90.875,90.385,0.26K,-0.54%
2021-02-10,90.328,90.45,90.49,90.21,0.21K,-0.08%
2021-02-11,90.378,90.415,90.425,90.215,0.11K,0.06%
2021-02-12,90.435,90.415,90.68,90.34,0.15K,0.06%
2021-02-15,90.435,90.3,90.37,90.24,0.05K,0.00%
2021-02-16,90.473,90.275,90.6,90.08,0.30K,0.04%
2021-02-17,90.919,90.7,91.02,90.6,0.28K,0.49%
2021-02-18,90.57,90.85,90.965,90.51,0.34K,-0.38%
2021-02-19,90.343,90.53,90.63,90.17,0.49K,-0.25%
2021-02-22,89.979,90.33,90.55,89.965,0.46K,-0.40%
2021-02-23,90.142,89.985,90.215,89.905,0.35K,0.18%
2021-02-24,90.145,90.055,90.415,89.945,0.58K,0.00%
2021-02-25,90.12,90.085,90.275,89.655,2.52K,-0.03%
2021-02-26,90.862,90.32,90.955,90.13,1.15K,0.82%
2021-03-01,91.018,90.925,91.125,90.7,2.07K,0.17%
2021-03-02,90.78,91.075,91.39,90.725,1.76K,-0.26%
2021-03-03,90.927,90.8,91.06,90.62,1.44K,0.16%
2021-03-04,91.624,91.015,91.675,90.98,1.55K,0.77%
2021-03-05,91.989,91.69,92.21,91.63,5.90K,0.40%
2021-03-08,92.344,91.9,92.455,91.85,7.41K,0.39%
2021-03-09,91.96,92.43,92.53,91.915,10.35K,-0.42%
2021-03-10,91.828,92.01,92.26,91.775,17.66K,-0.14%
2021-03-11,91.415,91.85,91.895,91.34,42.13K,-0.45%
2021-03-12,91.677,91.42,91.96,91.38,29.37K,0.29%
2021-03-15,91.832,91.655,91.97,91.54,28.21K,0.17%
2021-03-16,91.86,91.82,92.005,91.675,0.10K,0.03%
2021-03-17,91.413,91.91,91.965,91.35,0.17K,-0.49%
2021-03-18,91.845,91.33,91.9,91.29,0.19K,0.47%
2021-03-19,91.905,91.905,92.12,91.69,0.15K,0.07%
2021-03-22,91.721,92.065,92.125,91.69,0.18K,-0.20%
2021-03-23,92.328,91.8,92.335,91.8,0.14K,0.66%
2021-03-24,92.51,92.4,92.6,92.33,0.11K,0.20%
2021-03-25,92.806,92.605,92.89,92.515,0.11K,0.32%
2021-03-26,92.755,92.835,92.835,92.65,0.10K,-0.05%
2021-03-29,92.936,92.77,92.935,92.73,0.07K,0.20%
2021-03-30,93.301,92.885,93.335,92.885,0.10K,0.39%
2021-03-31,93.221,93.275,93.43,93.0,0.16K,-0.09%
2021-04-01,92.932,93.19,93.325,92.88,0.14K,-0.31%
2021-04-02,93.036,92.88,93.055,92.845,0.04K,0.11%
2021-04-05,92.585,92.96,93.09,92.55,0.23K,-0.48%
2021-04-06,92.333,92.53,92.75,92.29,0.11K,-0.27%
2021-04-07,92.457,92.335,92.385,92.165,0.08K,0.13%
2021-04-08,92.054,92.415,92.455,92.0,0.10K,-0.44%
2021-04-09,92.15,92.065,92.385,92.055,0.09K,0.10%
2021-04-12,92.129,92.215,92.32,92.0,0.11K,-0.02%
2021-04-13,91.834,92.155,92.36,91.78,0.21K,-0.32%
2021-04-14,91.664,91.76,91.78,91.58,0.09K,-0.19%
2021-04-15,91.603,91.615,91.725,91.485,0.15K,-0.07%
2021-04-16,91.529,91.715,91.77,91.475,0.11K,-0.08%
2021-04-19,91.04,91.57,91.7,91.02,0.39K,-0.53%
2021-04-20,91.212,91.02,91.2,90.85,0.37K,0.19%
2021-04-21,91.118,91.2,91.395,91.055,0.12K,-0.10%
2021-04-22,91.306,91.06,91.35,90.97,0.22K,0.21%
2021-04-23,90.829,91.195,91.2,90.785,0.12K,-0.52%
2021-04-26,90.76,90.8,90.895,90.65,0.22K,-0.08%
2021-04-27,90.872,90.845,91.0,90.77,0.06K,0.12%
2021-04-28,90.573,90.96,91.07,90.53,0.09K,-0.33%
2021-04-29,90.573,90.51,90.7,90.4,0.13K,0.00%
2021-04-30,91.244,90.58,91.275,90.565,0.24K,0.74%
2021-05-03,90.905,91.245,91.325,90.835,0.24K,-0.37%
2021-05-04,91.247,90.995,91.325,90.99,0.18K,0.38%
2021-05-05,91.263,91.245,91.41,91.145,0.09K,0.02%
2021-05-06,90.911,91.235,91.325,90.85,0.18K,-0.39%
2021-05-07,90.201,90.82,90.925,90.165,0.38K,-0.78%
2021-05-10,90.17,90.155,90.3,90.005,0.35K,-0.03%
2021-05-11,90.109,90.26,90.3,89.93,0.38K,-0.07%
2021-05-12,90.671,90.26,90.82,90.135,1.05K,0.62%
2021-05-13,90.75,90.725,90.91,90.57,1.07K,0.09%
